seed,variant,beta,overall_success,task1_success,task2_success,task3_success,task4_success,task5_success
2,plain,0.0,0.42400000000000004,0.38,0.5,0.36,0.38,0.5
2,plain,0.5,0.43200000000000005,0.4,0.6,0.4,0.34,0.42
2,plain,2.0,0.392,0.4,0.64,0.32,0.28,0.32
2,rank,0.0,0.45199999999999996,0.5,0.68,0.36,0.2,0.52
2,rank,0.5,0.368,0.32,0.58,0.36,0.24,0.34
2,rank,2.0,0.42799999999999994,0.42,0.54,0.42,0.36,0.4
2,normalized,0.0,0.388,0.3,0.56,0.3,0.3,0.48
2,normalized,8.0,0.348,0.42,0.48,0.36,0.1,0.38
2,normalized,32.0,0.36400000000000005,0.38,0.66,0.14,0.3,0.34
2,residual,0.0,0.42400000000000004,0.38,0.64,0.26,0.36,0.48
2,residual,0.5,0.4,0.38,0.56,0.32,0.3,0.44
2,residual,2.0,0.44000000000000006,0.44,0.7,0.32,0.28,0.46
